code,region,name,exchange,type
QNC,US,Quantum eMotion Corp. Common Shares,AMEX,stock
RCG,US,RENN Fund Inc Common Stock,AMEX,stock
REED,US,Reed's Inc. Common Stock,AMEX,stock
REI,US,Ring Energy Inc. Common Stock,AMEX,stock
REPX,US,Riley Exploration Permian Inc. Common Stock,AMEX,stock
RGNT,US,Regentis Biomaterials Ltd. Ordinary Shares,AMEX,stock
RLGT,US,Radiant Logistics Inc. Common Stock,AMEX,stock
ROLR,US,High Roller Technologies Inc. Common Stock,AMEX,stock
RVP,US,Retractable Technologies Inc. Common Stock,AMEX,stock
RYDE,US,Ryde Group Ltd. Class A Ordinary Shares,AMEX,stock
SACH,US,Sachem Capital Corp. Common Shares,AMEX,stock
SACH^A,US,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,AMEX,stock
SBEV,US,Splash Beverage Group Inc. (NV) Common Stock,AMEX,stock
SCCD,US,Sachem Capital Corp. 6.00% Notes due 2026,AMEX,stock
SCCE,US,Sachem Capital Corp. 6.00% Notes due 2027,AMEX,stock
SCCF,US,Sachem Capital Corp. 7.125% Notes due 2027,AMEX,stock
SCCG,US,Sachem Capital Corp. 8.00% Notes due 2027,AMEX,stock
SDEV,US,Stablecoin Development Corporation Common Stock,AMEX,stock
SEB,US,Seaboard Corporation Common Stock,AMEX,stock
SER,US,Serina Therapeutics Inc. Common Stock,AMEX,stock
SIF,US,SIFCO Industries Inc. Common Stock,AMEX,stock
SIM,US,Grupo Simec S.A.B. de C.V. American Depositary Shares,AMEX,stock
SLI,US,Standard Lithium Ltd. Common Shares,AMEX,stock
SLND,US,Southland Holdings Inc. Common Stock,AMEX,stock
SLSR,US,Solaris Resources Inc. Common Shares,AMEX,stock
SMJF,US,SMJ International Holdings Inc. Class A Ordinary Shares,AMEX,stock
SOAR,US,Volato Group Inc. Class A Common Stock,AMEX,stock
SRXH,US,SRX Health Solutions Inc. Common Stock,AMEX,stock
STRW,US,Strawberry Fields REIT Inc. Common Stock,AMEX,stock
STXS,US,Stereotaxis Inc. Common Stock,AMEX,stock
SVM,US,Silvercorp Metals Inc. Common Shares,AMEX,stock
SYNX,US,Silynxcom Ltd. Ordinary Shares,AMEX,stock
TGB,US,Taseko Mines Ltd. Common Stock,AMEX,stock
TGEN,US,Tecogen Inc. Common Stock,AMEX,stock
THM,US,International Tower Hill Mines Ltd. Ordinary Shares (Canada),AMEX,stock
TII,US,Titan Mining Corporation Common Shares,AMEX,stock
TMDE,US,TMD Energy Limited Ordinary Shares,AMEX,stock
TMP,US,Tompkins Financial Corporation Common Stock,AMEX,stock
TMQ,US,Trilogy Metals Inc. Common Stock,AMEX,stock
TOON,US,Kartoon Studios Inc. Common Stock,AMEX,stock
TOPP,US,Toppoint Holdings Inc. Common Stock,AMEX,stock
TOPS,US,TOP Ships Inc. Common Stock,AMEX,stock
TOVX,US,Theriva Biologics Inc. Common Stock,AMEX,stock
TPET,US,Trio Petroleum Corp. Common Stock,AMEX,stock
