code,region,name,exchange,type
AVTR,US,Avantor Inc. Common Stock,NYSE,stock
AVY,US,Avery Dennison Corporation Common Stock,NYSE,stock
AWF,US,Alliancebernstein Global High Income Fund,NYSE,stock
AWI,US,Armstrong World Industries Inc Common Stock,NYSE,stock
AWK,US,American Water Works Company Inc. Common Stock,NYSE,stock
AWP,US,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,NYSE,stock
AWR,US,American States Water Company Common Stock,NYSE,stock
AX,US,Axos Financial Inc. Common Stock,NYSE,stock
AXIA,US,AXIA Energia American Depositary Shares (Each representing one Common Share),NYSE,stock
AXIA^,US,AXIA Energia AXIA Energia American Depositary Shares (Each representing one Preferred Class B1 Share),NYSE,stock
AXIA^C,US,AXIA Energia American Depositary Shares each representing one Preferred Class C Share,NYSE,stock
AXP,US,American Express Company Common Stock,NYSE,stock
AXR,US,AMREP Corporation Common Stock,NYSE,stock
AXS,US,Axis Capital Holdings Limited Common Stock,NYSE,stock
AXS^E,US,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,NYSE,stock
AXTA,US,Axalta Coating Systems Ltd. Common Shares,NYSE,stock
AYI,US,Acuity Inc. Common Stock,NYSE,stock
AZN,US,AstraZeneca PLC Ordinary Shares,NYSE,stock
AZO,US,AutoZone Inc. Common Stock,NYSE,stock
AZZ,US,AZZ Inc.,NYSE,stock
B,US,Barrick Mining Corporation Common Shares,NYSE,stock
BA,US,Boeing Company (The) Common Stock,NYSE,stock
BA^A,US,Boeing Company (The) Depositary Shares each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock par value $1.00,NYSE,stock
BABA,US,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYSE,stock
BAC,US,Bank of America Corporation Common Stock,NYSE,stock
BAC^B,US,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,NYSE,stock
BAC^E,US,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,NYSE,stock
BAC^K,US,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,NYSE,stock
BAC^L,US,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,NYSE,stock
BAC^M,US,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,NYSE,stock
BAC^N,US,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,NYSE,stock
BAC^O,US,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,NYSE,stock
BAC^P,US,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,NYSE,stock
BAC^Q,US,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,NYSE,stock
BAC^S,US,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,NYSE,stock
BAH,US,Booz Allen Hamilton Holding Corporation Common Stock,NYSE,stock
BAK,US,Braskem SA ADR,NYSE,stock
BALL,US,Ball Corporation Common Stock,NYSE,stock
BALY,US,Bally's Corporation Common Stock,NYSE,stock
BAM,US,Brookfield Asset Management Inc Class A Limited Voting Shares,NYSE,stock
BANC,US,Banc of California Inc. Common Stock,NYSE,stock
BANC^F,US,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,NYSE,stock
BAP,US,Credicorp Ltd. Common Stock,NYSE,stock
BARK,US,BARK Inc. Class A Common Stock,NYSE,stock
BAX,US,Baxter International Inc. Common Stock,NYSE,stock
BB,US,BlackBerry Limited Common Stock,NYSE,stock
BBAI,US,BigBear.ai Inc. Common Stock,NYSE,stock
BBAR,US,Banco BBVA Argentina S.A. ADS,NYSE,stock
BBBY,US,Bed Bath & Beyond Inc. Common Stock,NYSE,stock
BBD,US,Banco Bradesco Sa American Depositary Shares,NYSE,stock
BBDC,US,Barings BDC Inc. Common Stock,NYSE,stock
BBDO,US,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),NYSE,stock
BBN,US,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,NYSE,stock
BBT,US,Beacon Financial Corporation Common stock,NYSE,stock
BBUC,US,Brookfield Business Corporation Class A Subordinate Voting Shares,NYSE,stock
BBVA,US,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,NYSE,stock
BBW,US,Build-A-Bear Workshop Inc. Common Stock,NYSE,stock
BBWI,US,Bath & Body Works Inc.,NYSE,stock
BBY,US,Best Buy Co. Inc. Common Stock,NYSE,stock
BC,US,Brunswick Corporation Common Stock,NYSE,stock
BC^C,US,Brunswick Corporation 6.375% Notes due 2049,NYSE,stock
BCAT,US,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,NYSE,stock
BCC,US,Boise Cascade L.L.C. Common Stock,NYSE,stock
BCE,US,BCE Inc. Common Stock,NYSE,stock
BCH,US,Banco De Chile ADS,NYSE,stock
BCO,US,Brinks Company (The) Common Stock,NYSE,stock
BCS,US,Barclays PLC Common Stock,NYSE,stock
BCSF,US,Bain Capital Specialty Finance Inc. Common Stock,NYSE,stock
BCSS,US,Bain Capital GSS Investment Corp. Class A Ordinary Shares,NYSE,stock
BCX,US,BlackRock Resources Common Shares of Beneficial Interest,NYSE,stock
BDC,US,Belden Inc Common Stock,NYSE,stock
BDJ,US,Blackrock Enhanced Equity Dividend Trust,NYSE,stock
BDN,US,Brandywine Realty Trust Common Stock,NYSE,stock
BDX,US,Becton Dickinson and Company Common Stock,NYSE,stock
BE,US,Bloom Energy Corporation Class A Common Stock,NYSE,stock
BEBE,US,TGE Value Creative Solutions Corp Class A Ordinary Shares,NYSE,stock
BEKE,US,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),NYSE,stock
BEN,US,Franklin Resources Inc. Common Stock,NYSE,stock
BEP,US,Brookfield Renewable Partners L.P. Limited Partnership Units,NYSE,stock
BEP^A,US,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,NYSE,stock
BEPC,US,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,NYSE,stock
BEPH,US,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,NYSE,stock
BEPI,US,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,NYSE,stock
BEPJ,US,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,NYSE,stock
BETA,US,Beta Technologies Inc. Class A Common Stock,NYSE,stock
BF/A,US,Brown Forman Corporation,NYSE,stock
BF/B,US,Brown Forman Corporation,NYSE,stock
BFAM,US,Bright Horizons Family Solutions Inc. Common Stock,NYSE,stock
BFH,US,Bread Financial Holdings Inc. Common Stock,NYSE,stock
BFH^A,US,Bread Financial Holdings Inc. Depositary Shares each representing a 1/40th interest in a share of 8.625% Non-Cumulative Perpetual Preferred Stock Series A,NYSE,stock
BFLY,US,Butterfly Network Inc. Class A Common Stock,NYSE,stock
BFS,US,Saul Centers Inc. Common Stock,NYSE,stock
BFS^D,US,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,NYSE,stock
BFS^E,US,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,NYSE,stock
BG,US,Bunge Limited Common Shares,NYSE,stock
BGB,US,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,NYSE,stock
BGH,US,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,NYSE,stock
BGR,US,BlackRock Energy and Resources Trust,NYSE,stock
BGS,US,B&G Foods Inc. Common Stock,NYSE,stock
BGSF,US,BGSF Inc. Common Stock,NYSE,stock
BGSI,US,Boyd Group Services Inc. Common Shares,NYSE,stock
BGT,US,BlackRock Floating Rate Income Trust,NYSE,stock
BGX,US,Blackstone Long Short Credit Income Fund Common Shares,NYSE,stock
BGY,US,Blackrock Enhanced International Dividend Trust,NYSE,stock
BH,US,Biglari Holdings Inc. Class B Common Stock,NYSE,stock
BHC,US,Bausch Health Companies Inc. Common Stock,NYSE,stock
BHE,US,Benchmark Electronics Inc. Common Stock,NYSE,stock
BHK,US,Blackrock Core Bond Trust,NYSE,stock
BHP,US,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYSE,stock
BHR,US,Braemar Hotels & Resorts Inc. Common Stock,NYSE,stock
BHR^B,US,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,NYSE,stock
BHR^D,US,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,NYSE,stock
BHV,US,BlackRock Virginia Municipal Bond Trust,NYSE,stock
